id,language,category,query,keyword,response,enabled
1,en,Network & Connectivity,How do I enable or disable mobile bands on FuriOS?,"Enable Bands, disable bands, cellular bands","Go to Settings > Enable Bands, then select the band type you want to toggle (2G, 3G, 4G, etc.) and enable or disable it.",yes
2,en,Network & Connectivity,How do I turn off or on wifi?,wifi,To turn wifi on or off there are two ways. The first and easiest is swipe down from the top of the screen to show the quick view settings options and tap the wifi to toggle it off. It's color will change to disabled/off. The second way is to go to Settings > Wi-Fi and toggle on/off the the Wi-Fi.,yes
3,en,Settings,How do I open the Settings app on FuriOS?,"settings, open settings, access settings","You can open Settings by tapping the Settings icon in your app drawer, or by swiping down from the top of the screen to open the Quick Settings panel and tapping the gear icon.",yes
4,en,Network & Connectivity,How do I connect to a Wi-Fi network on FuriOS?,"connect wifi, join wifi, wifi network",Go to Settings > Wi-Fi. Make sure Wi-Fi is enabled (toggle on). Available networks will appear under Visible Networks. Tap the network you want to connect to and enter the password if required.,yes
5,en,Network & Connectivity,How do I view my saved Wi-Fi networks?,"saved wifi, saved networks, remembered wifi",Go to Settings > Wi-Fi and tap Saved Networks. A popup will appear showing all your previously connected Wi-Fi networks. From here you can see and manage your saved connections.,yes
6,en,Network & Connectivity,How do I forget or remove a saved Wi-Fi network?,"forget wifi, remove wifi, delete saved network","Go to Settings > Wi-Fi, tap the connected or saved network to open its details, scroll down and tap Forget Connection... to remove it from your saved networks.",yes
7,en,Network & Connectivity,How do I connect to a hidden Wi-Fi network?,"hidden wifi, hidden network, invisible wifi","Go to Settings > Wi-Fi and tap Connect to Hidden Network.... In the popup, select your Wi-Fi adapter, enter the Network name, choose the Wi-Fi security type (None, WPA, WPA2, etc.), enter the password if needed, and tap Connect.",yes
8,en,Network & Connectivity,How do I turn on Wi-Fi hotspot on FuriOS?,"wifi hotspot, hotspot, tethering, share internet, mobile hotspot",Go to Settings > Wi-Fi and tap Turn On Wi-Fi Hotspot.... A popup will appear where you can set the Network Name (default: furiphoneflx1s) and Password. Tap Turn On to enable the hotspot. Others can then connect to share your internet.,yes
9,en,Network & Connectivity,How do I change my Wi-Fi hotspot name and password?,"hotspot name, hotspot password, change hotspot","Go to Settings > Wi-Fi and tap Turn On Wi-Fi Hotspot.... In the configuration popup, you can edit the Network Name and Password fields before turning on the hotspot.",yes
10,en,Network & Connectivity,How do I turn off Wi-Fi hotspot?,"turn off hotspot, disable hotspot, stop hotspot","When the hotspot is active, go to Settings > Wi-Fi. You'll see Wi-Fi Hotspot Active with a QR code. Tap Turn Off Hotspot... to disable it and return to normal Wi-Fi mode.",yes
11,en,Network & Connectivity,How do others connect to my Wi-Fi hotspot?,"connect to hotspot, join hotspot, scan qr hotspot","When your hotspot is active, a QR code is displayed on the Settings > Wi-Fi screen. Other devices can scan this QR code to automatically connect, or they can manually search for your hotspot name and enter the password.",yes
12,en,Network & Connectivity,How do I enable Airplane Mode on FuriOS?,"airplane mode, flight mode, disable mobile broadband",Go to Settings > Wi-Fi and toggle on Airplane Mode. This disables mobile broadband. You can also access Airplane Mode from the Quick Settings by swiping down from the top of the screen.,yes
13,en,Network & Connectivity,How do I view Wi-Fi network details on FuriOS?,"wifi details, network info, wifi information, ip address","Go to Settings > Wi-Fi and tap on a connected network. The Details tab shows: Signal Strength, Security type, IPv4 Address, IPv6 Address, Hardware Address (MAC), Supported Frequencies (2.4 GHz/5 GHz), Default Route, and DNS.",yes
14,en,Network & Connectivity,How do I find my IP address on FuriOS?,"ip address, ipv4, ipv6, network address","Go to Settings > Wi-Fi, tap on your connected network, and view the Details tab. Your IPv4 Address and IPv6 Address are displayed there along with the Default Route and DNS settings.",yes
15,en,Network & Connectivity,How do I find my MAC address on FuriOS?,"mac address, hardware address, wifi mac","Go to Settings > Wi-Fi, tap on your connected network, and view the Details tab. Your Hardware Address (MAC address) is displayed there.",yes
16,en,Network & Connectivity,How do I set a Wi-Fi connection to connect automatically?,"auto connect wifi, automatic wifi, connect automatically","Go to Settings > Wi-Fi, tap on your connected network, and in the Details tab, enable the Connect automatically checkbox. The device will automatically connect to this network when in range.",yes
17,en,Network & Connectivity,How do I share a Wi-Fi connection with other users on FuriOS?,"share wifi, wifi other users, multi user wifi","Go to Settings > Wi-Fi, tap on a network, and in the Details tab, enable Make available to other users. This allows other user accounts on the device to use this saved connection.",yes
18,en,Network & Connectivity,How do I set a Wi-Fi network as metered on FuriOS?,"metered connection, data limit, metered wifi","Go to Settings > Wi-Fi, tap on a network, and in the Details tab, enable Metered connection. This indicates the connection has data limits or can incur charges. Software updates and large downloads will not start automatically on metered connections.",yes
19,en,Network & Connectivity,How do I view or change Wi-Fi identity settings?,"wifi identity, bssid, cloned mac, mac address randomization","Go to Settings > Wi-Fi, tap on a network, and select the Identity tab. Here you can view and configure: BSSID, MAC Address, and Cloned Address settings.",yes
20,en,Settings,How do I configure a static IP address on Wi-Fi?,"static ip, manual ip, fixed ip address, dhcp off","Go to Settings > Wi-Fi, tap on a network, select the IPv4 tab, and change IPv4 Method from Automatic (DHCP) to Manual. Then enter your desired Address, Netmask, DNS, and Routes.",yes
21,en,General,What IPv4 methods are available for Wi-Fi on FuriOS?,"ipv4 methods, dhcp, manual ip, shared","Go to Settings > Wi-Fi, tap on a network, and select the IPv4 tab. Available methods are: Automatic (DHCP) - gets IP automatically, Manual - set static IP, and Shared to other computers - share connection.",yes
22,en,Settings,How do I set custom DNS servers for Wi-Fi?,"custom dns, change dns, dns settings","Go to Settings > Wi-Fi, tap on a network, select the IPv4 or IPv6 tab. In the DNS field, enter your preferred DNS server addresses. Separate multiple IP addresses with commas.",yes
23,en,Settings,How do I configure IPv6 settings on Wi-Fi?,"ipv6 settings, ipv6 configure, ipv6 manual","Go to Settings > Wi-Fi, tap on a network, and select the IPv6 tab. Choose your method: Automatic, Automatic, DHCP, Link-Local Only, Manual, Shared to other devices, or Disable.",yes
24,en,General,What IPv6 methods are available for Wi-Fi on FuriOS?,"ipv6 methods, ipv6 options, ipv6 modes","Go to Settings > Wi-Fi > [Network] > IPv6. Methods include: Automatic, Automatic, DHCP, Link-Local Only, Manual (enter Address, Prefix, Gateway), Shared to other devices, and Disable (turn off IPv6).",yes
25,en,General,How do I disable IPv6 on FuriOS?,"disable ipv6, turn off ipv6, ipv6 off","Go to Settings > Wi-Fi, tap on a network, select the IPv6 tab, and set IPv6 Method to Disable. Tap Apply to save the changes.",yes
26,en,Network & Connectivity,How do I only use a Wi-Fi connection for its own network resources?,"network only, local resources, no default route","Go to Settings > Wi-Fi, tap on a network, select the IPv4 or IPv6 tab, and enable Use this connection only for resources on its network. This prevents the connection from becoming your default route.",yes
27,en,Network & Connectivity,How do I view or change Wi-Fi security settings?,"wifi security, wifi password, wpa, wpa2, wpa3","Go to Settings > Wi-Fi, tap on a network, and select the Security tab. Here you can see the security type (e.g., WPA & WPA2 Personal) and update the password. Toggle Show password to reveal the current password.",yes
